facility_id,year,facility_name,state,city,county,lat,lon,parent_name,ownership_share,co2_ghgrp_metric,attributed_co2_ghgrp_metric,co2_cems_metric,cems_n_oris_codes,gross_load_mwh,heat_input_mmbtu,has_cems,co2_ct_metric,n_ct_assets,mean_match_distance_km,has_ct,n_sources,is_clustered
1006509,2011,Cane Run,KY,Louisville,JEFFERSON COUNTY,38.1828,-85.8894,PPL CORP,1.0,3196272.776,3196272.776,3167954.44283559,1.0,3536649.44,34035848.878,True,,,,False,2,False
1007650,2011,Cape Canaveral,FL,COCOA,Brevard,28.4694,-80.7642,NEXTERA ENERGY INC,1.0,0.0,0.0,,,,,False,,,,False,1,False
1000839,2011,Cardinal,OH,BRILLIANT,Jefferson,40.2522,-80.6486,BUCKEYE POWER INC,1.0,7398427.54,7398427.54,7284681.122129761,1.0,8623063.82,76613338.714,True,,,,False,2,False
1000733,2011,Carlls Corner Energy Center,NJ,UPPER DEERFIELD TWP,Cumberland,39.4547,-75.2011,CPN MANAGEMENT LP,1.0,18949.44,18949.44,18916.349464500003,1.0,14548.0,334453.4,True,,,,False,2,False
1008168,2011,Cass County Station,NE,PLATTSMOUTH,Cass,40.9472,-95.9667,OMAHA PUBLIC POWER DISTRICT,1.0,38980.256,38980.256,39242.37732924,1.0,63849.58,727919.375,True,,,,False,2,False
1001540,2011,Cayuga,IN,CAYUGA,Vermillion,39.9239,-87.4272,DUKE ENERGY CORP,1.0,5475737.42,5475737.42,5431471.37527596,1.0,6335616.779999999,58407795.272,True,,,,False,2,True
1000929,2011,Cedar Bayou,TX,BAYTOWN,Chambers,29.7483,-94.9272,NRG ENERGY INC,1.0,1166217.376,1166217.376,1159596.47848638,1.0,2013521.16,21508847.484,True,,,,False,2,True
1000547,2011,Cedar Bayou 4,TX,ELDON,Chambers,29.752,-94.923,NRG ENERGY INC,0.5,117767.014,58883.507,117646.34897784,1.0,202715.95,2182135.48,True,,,,False,2,True
1000819,2011,Central Alabama Generating Station,AL,BILLINGSLEY,Autauga,32.6503,-86.7386,THE SOUTHERN CO,1.0,1281708.6,1281708.6,1280394.36093867,1.0,3151410.27,23749415.65,True,,,,False,2,False
1001396,2011,Ceredo Generating Station,WV,HUNTINGTON,Wayne,38.3681,-82.5339,AMERICAN ELECTRIC POWER CO INC,1.0,18795.68,18795.68,18776.370819,1.0,26505.68,350782.5,True,,,,False,2,False
1000148,2011,"Chambersburg Units 12,13",PA,CHAMBERSBURG,Franklin,39.8668,-77.6859,"LS Power Development, LLC",1.0,40052.0,40052.0,40010.315782035,1.0,74911.11,742127.6410000001,True,,,,False,2,False
1001408,2011,Channel Energy Center,TX,PASADENA,Harris,29.7189,-95.2319,CPN MANAGEMENT LP,1.0,1296289.664,1296289.664,1236275.268213885,1.0,3475491.12,22931665.572,True,,,,False,2,False
1001178,2011,Chattahoochee Energy Facility,GA,FRANKLIN,Heard,33.407,-85.0387,OGLETHORPE POWER CORP,1.0,736597.62,736597.62,735842.179456125,1.0,1319864.75,13648738.875,True,,,,False,2,True
1000144,2011,Chehalis Generation Facility,WA,CHEHALIS,Lewis,46.6226,-122.9145,BERKSHIRE HATHAWAY INC,1.0,280951.908,280951.908,280663.5526662,1.0,702240.27,5205926.4690000005,True,,,,False,2,False
1007207,2011,Cherokee,CO,DENVER,Adams,39.8078,-104.9648,XCEL ENERGY INC,1.0,4408982.364,4408982.364,4385674.434822749,1.0,4393016.87,47191900.941,True,,,,False,2,False
1007184,2011,Cherokee County Cogen,SC,GAFFNEY,Cherokee,35.0727,-81.613,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,1.0,230867.144,230867.144,230630.223369735,1.0,351702.57,4277840.745,True,,,,False,2,False
1000964,2011,Chesterfield Power Station,VA,CHESTER,Chesterfield,37.3822,-77.3833,DOMINION ENERGY INC,1.0,6136220.698,6136220.698,5578615.917728655,1.0,8213983.28,73118417.093,True,,,,False,2,False
1000696,2011,Chevron Cogenerating Station,MS,PASCAGOULA,Jackson,30.34,-88.492,THE SOUTHERN CO,1.0,861629.728,861629.728,396116.501586375,1.0,592318.75,7347457.95,True,,,,False,2,False
1000171,2011,Choctaw County Gen,MS,FRENCH CAMP,Choctaw,33.2881,-89.4201,ENTERGY CORP,1.0,196266.824,196266.824,195440.44373775,1.0,328885.78,3625129.044,True,,,,False,2,False
1001421,2011,Cholla,AZ,JOSEPH CITY,Navajo,34.9394,-110.3033,PINNACLE WEST CAPITAL CORP,1.0,7869918.05,7869918.05,7806783.2689921055,1.0,7999460.6,83874358.064,True,,,,False,2,False
1001142,2011,Chouteau Power Plant,OK,PRYOR,Mayes,36.2206,-95.2756,ASSOCIATED ELECTRIC COOPERATIVE INC,1.0,782963.896,782963.896,770439.6044776951,1.0,1968403.04,14290597.821,True,,,,False,2,False
1000150,2011,Chuck Lenzie Generating Station,NV,APEX,Clark,36.3853,-114.9228,BERKSHIRE HATHAWAY INC,1.0,2397261.06453,2397261.06453,2394760.2010425003,1.0,6218403.859999999,44419289.487,True,,,,False,2,True
