cems_facility_id,year,co2_cems_metric,gross_load_mwh,heat_input_mmbtu,n_units
7887,2016,79289.441361255,164199.14,1470458.31,3
7887,2017,66413.617692285,118788.94,1230968.9849999999,3
7887,2018,105165.58623267,201015.07,1949800.008,3
7887,2019,95120.717724405,175289.68,1763915.459,3
7887,2020,87226.54353993,157488.41,1617826.4869999997,3
7887,2021,102905.479047585,198441.93,1888454.036,3
7887,2022,105258.52007844,207417.07,1946924.358,3
7887,2023,35251.72675971,67509.75,653768.93,3
7887,2024,75822.41071624501,138407.67,1396743.304,3
7897,2011,2067845.88046125,5736733.25,38355510.35,4
7897,2012,2393139.37896225,6663291.25,44389163.25,4
7897,2013,1728886.864635,4757693.0,32068230.5,4
7897,2014,1831236.451558875,5008529.25,33966445.3,4
7897,2015,2774428.667471625,7623271.75,51461611.15,4
7897,2016,2281740.3268282497,6255499.75,42322848.475,4
7897,2017,1986526.883003625,5433510.0,36846984.95,4
7897,2018,2197508.267617125,6001027.25,40760455.825,4
7897,2019,1653182.276385,4508274.5,30663976.175,4
7897,2020,1658551.76832225,4530633.5,30763680.400000002,4
7897,2021,1774278.9774116252,4836202.5,32910283.925,4
7897,2022,2550130.124572875,6888448.75,47300985.025,4
7897,2023,2417547.032629875,6591696.0,44841884.875,4
7897,2024,1879679.722325625,5084431.25,34865293.175,4
7900,2011,670064.7497390851,1633641.3499999999,12428689.58,7
7900,2012,687455.290237125,1669866.71,12751169.522,7
7900,2013,600057.5363936999,1411109.3299999998,11130289.037,7
7900,2014,529840.5047655901,1279616.16,9827719.649,7
7900,2015,731145.32800179,1745803.19,13561514.300999999,7
7900,2016,753253.3956075,1672318.56,13971569.904,7
7900,2017,619590.74988576,1435628.75,11492450.692000002,7
7900,2018,801944.63995089,1869019.45,14875230.481,7
7900,2019,676593.765627195,1574183.97,12549661.06,7
7900,2020,688567.782088845,1635132.24,12772728.072999999,7
7900,2021,623152.3944831601,1423845.72,11558998.930000002,7
7900,2022,730612.36044303,1703205.1700000002,13551170.312,7
7900,2023,837010.70948598,1956683.32,15525755.671,7
7900,2024,926265.6769554,2223597.52,17181085.074,7
7902,2011,5036242.24849074,5083224.17,50992058.406,1
7902,2012,4105345.6034844453,4662623.05,41566693.117,1
7902,2013,5079457.781326786,5329526.53,51429600.396,1
7902,2014,5028206.749398225,5447530.77,50910711.393,1
7902,2015,4588840.84885257,4913160.57,46462064.373,1
7902,2016,5149015.046334315,5423476.11,52133913.268,1
7902,2017,4520314.40727432,4583275.11,45768277.733,1
7902,2018,5261518.58622678,4896855.81,53272992.876,1
7902,2019,3428784.84850503,3295914.6,34716565.531,1
7902,2020,2248089.575662545,2378195.06,22761955.815,1
7902,2021,3044231.822251665,2904776.83,30822883.366,1
7902,2022,3320407.46086962,3203759.45,33619252.513,1
7902,2023,921170.71915722,952750.53,9326877.403,1
7902,2024,0.0,0.0,0.0,1
7903,2011,14637.802828035,22953.3,271504.331,4
7903,2012,35164.623391935005,54068.229999999996,652313.173,4
7903,2013,23419.164933555003,36087.65,434372.662,4
7903,2014,34046.492478255,51548.020000000004,631515.565,4
7903,2015,25307.56939422,37260.97,469423.449,4
7903,2016,38868.369447735,60485.03999999999,720927.3200000001,4
7903,2017,43906.414087755,68804.87,814379.5789999999,4
7903,2018,43614.72780189,67268.18,809000.458,4
7903,2019,61277.353946685005,95975.4,1136532.881,4
7903,2020,25526.27355402,39913.18,473450.38300000003,4
7903,2021,26731.89883221,42079.06,495846.323,4
7903,2022,58969.13329794,94050.45,1093876.87,4
7903,2023,57741.15316698,93575.22,1071061.314,4
7903,2024,66862.00113601501,108859.01,1240212.868,4
7909,2011,44711.55982614,87080.08,829307.757,2
7909,2012,38170.96825743,74756.72,708030.507,2
7909,2013,42910.51274505,84979.18,795942.326,2
7909,2014,26168.130528330003,51507.17,485366.785,2
7909,2015,26866.575888569998,52578.94,498363.21,2
7909,2016,28182.417793965004,54812.259999999995,522743.292,2
7909,2017,27990.596247270005,53931.25,519190.945,2
7909,2018,35135.758579605,67259.36,651712.571,2
7909,2019,19617.81393642,37304.240000000005,363867.862,2
7909,2020,36755.7433281,70037.78,681727.0889999999,2
7909,2021,51043.13415648001,93115.82,946788.5079999999,2
7909,2022,71776.097089485,130655.8,1331338.1060000001,2
7909,2023,70849.13727085499,128494.25,1314165.5189999999,2
7909,2024,68104.56789459,126327.83,1263232.883,2
7910,2011,100198.98966888,190329.47,1858553.204,2
7910,2012,68733.193575675,130986.72,1274895.621,2
7910,2013,102284.83296576,195855.83,1897260.904,2
7910,2014,40506.765515805004,78223.38,751366.2509999999,2
7910,2015,67198.764537345,126374.73000000001,1246088.744,2
7910,2016,66671.617477545,122607.93,1236667.755,2
