State,Facility Name,Facility ID,Unit ID,unit_id,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
TN,Kingston,3407,4,2283,"CSKI15, CSKI69, CSN19, CSS19",2012,4634,4623.91,400829.6,,200.395,0.0846,442305.8,0.104,129.482,0.0632,4247363.388,Coal,,Tangentially-fired,Wet Lime FGD,Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,5,2284,"CSKI15, CSKI69, CSN19, CSS19",2012,4271,4259.15,512266.5,,251.38,0.0856,563970.833,0.104,163.334,0.0629,5415169.007,Coal,,Tangentially-fired,Wet Lime FGD,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,6,2285,"CSKI15, CSKI69, CSN19, CSS19",2012,5053,5041.28,607518.28,,287.45,0.089,667434.227,0.104,197.425,0.065,6410424.89,Coal,,Tangentially-fired,Wet Lime FGD,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,7,2286,"CSKI15, CSKI69, CSN19, CSS19",2012,4746,4736.97,591343.61,,335.194,0.0933,653601.463,0.104,195.253,0.0656,6274851.003,Coal,,Tangentially-fired,Wet Lime FGD,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,8,2287,"CSKI15, CSKI69, CSN19, CSS19",2012,4450,4441.79,565376.13,,280.405,0.086,622445.704,0.104,181.767,0.0638,5979234.864,Coal,,Tangentially-fired,Wet Lime FGD,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Kingston,3407,9,2288,"CSKI15, CSKI69, CSN19, CSS19",2012,4190,4161.59,536514.0,,278.115,0.0902,589595.581,0.1039,175.975,0.0662,5664105.825,Coal,,Tangentially-fired,Wet Lime FGD,Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TX,Laredo,3439,4,90196,,2012,2854,2302.38,143405.0,,0.418,0.001,82857.565,0.0591,7.886,0.0158,1394233.606,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Laredo,3439,5,90197,,2012,1425,1049.9,56010.75,,0.17,0.001,33758.99,0.0594,3.748,0.0212,568049.65,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Nueces Bay,3441,8,90242,,2012,6965,6731.43,1296580.1,,2.873,0.001,569127.823,0.059,56.068,0.0158,9576658.818,Pipeline Natural Gas,,Combined cycle,,Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Nueces Bay,3441,9,90243,,2012,7049,6801.38,1316572.6,,2.933,0.001,580901.068,0.059,55.419,0.0154,9774791.864,Pipeline Natural Gas,,Combined cycle,,Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Victoria Power Station,3443,9,90094,,2012,3825,3644.87,721316.59,,1.677,0.001,332163.983,0.059,53.44,0.0257,5589299.892,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
